"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "ret" "pck" "expe" "cond" "plong"
"4079" "2" 422 4220 263.487465609321 172.557874971578 263.483526543026 171.225663957457 1.89305380545075 17.0118161627509 0.0853493060537289 19.2441747851009 322 "2" "Sti" "4" "2" "9" "CT" 57
"4369" "2" 716 7160 258.524921643667 165.006971187024 259.057038133029 166.18219582655 -0.989990178503019 8.89648824092046 0.432602817452533 11.363976140562 245.909090909091 "3" "Sti" "4" "2" "9" "CT" 57
"4370" "2" 717 7170 278.338757144121 174.341742381104 281.916506238175 174.061307082936 -4.18099219878285 37.572239340896 2.29548849883344 37.406316733769 259.833333333333 "3" "Sti" "4" "2" "9" "CT" 57
"4371" "2" 718 7179.8 313.403483737471 198.354001056982 312.368639041236 200.350471472724 -1.74099121799651 15.6453147059221 -4.06073689315463 34.1719359246817 296.65 "3" "Sti" "4" "2" "9" "CT" 57
"4372" "2" 719 7190 321.065365473632 215.375909228504 322.770698170327 210.104005827644 -1.5987109401466 14.3667213963191 2.02422254302536 6.20331173102898 262.944444444444 "3" "Sti" "4" "2" "9" "CT" 57
"4373" "2" 720 7200 336.509864224325 172.754997699534 337.092946806931 173.586921828142 -1.16602424740163 10.6993126916358 -0.849538766886951 8.19829628242093 286.636363636364 "3" "Sti" "4" "2" "9" "CT" 57
"4374" "2" 721 7210 349.037951570414 171.048026422744 350.138710826932 173.558292825475 -1.98165409292267 17.8080174107552 1.8377150691345 21.0881078141688 281.166666666667 "3" "Sti" "4" "2" "9" "CT" 57
"4375" "2" 722 7220 377.650914158939 187.535623733733 377.822277649546 190.045440332673 -3.08494412871791 27.7226681243806 -2.35772825042881 34.879312146851 248.818181818182 "3" "Sti" "4" "2" "9" "CT" 57
"4669" "2" 1016 10160 399.019097641316 157.984959545074 397.802864237976 157.685156944912 0.0899702573205021 6.19854353140255 -0.488306104487435 6.48696845176744 139.590909090909 "4" "Sti" "4" "2" "9" "CT" 57
"4670" "2" 1017 10170 384.286372455337 156.960928195209 383.222757108183 157.421146679677 2.52539733131056 22.6943338929173 -2.53550999656369 20.4424231510522 215.777777777778 "4" "Sti" "4" "2" "9" "CT" 57
"4671" "2" 1018 10180 362.304070302843 157.489606950057 362.692632345985 157.44211640149 1.51271746640371 14.365028985688 3.02504614851796 13.856648817358 238.090909090909 "4" "Sti" "4" "2" "9" "CT" 57
"4672" "2" 1019 10190 358.737041502365 157.549198426861 357.948252143131 157.056207697793 0.509454280157799 4.62422963967049 -1.53895921455131 4.73330633104536 257.555555555556 "4" "Sti" "4" "2" "9" "CT" 57
"4673" "2" 1020 10200 351.87356245541 156.51016619737 350.755153247409 156.720823803909 1.19326037509602 10.7231638514338 -0.384559247010316 9.84527349608544 167.318181818182 "4" "Sti" "4" "2" "9" "CT" 57
"4674" "2" 1021 10210 336.933238772367 155.888481771451 338.876985983589 156.159607213731 0.467872284980309 10.2737876389853 3.21235153647154 9.99964393769892 231.777777777778 "4" "Sti" "4" "2" "9" "CT" 57
"4675" "2" 1022 10220 346.638963673436 159.904599239463 345.785081634616 160.181523785526 -0.776406587804084 8.31368890284517 -1.48856157156484 8.6145614251194 246.181818181818 "4" "Sti" "4" "2" "9" "CT" 57
"4969" "2" 1316 13160 30.0563432434127 201.438432861611 36.0332850603082 202.14009363897 -6.68340644998094 60.0600371424453 7.66316623990792 48.5534493671919 194.272727272727 "5" "Sti" "4" "2" "9" "CT" 57
"4970" "2" 1317 13170 111.86194698676 219.705526842419 114.471360182984 219.011939787519 -8.18402824233559 73.5452862081878 -1.94688515210253 32.1078949240438 210 "5" "Sti" "4" "2" "9" "CT" 57
"4971" "2" 1318 13180 178.881661514176 207.432868476932 181.468115934511 204.864160035223 -7.14455760399295 64.2041447387029 -1.44811101542493 21.4573982908748 239.454545454545 "5" "Sti" "4" "2" "9" "CT" 57
"4972" "2" 1319 13190 222.864423237748 172.134598182294 217.356449739959 171.926177312046 -0.195485397211704 22.5368843533156 -9.5968586022077 19.9552679750952 234.944444444444 "5" "Sti" "4" "2" "9" "CT" 57
"4973" "2" 1320 13200 175.671165476379 168.608158801243 175.236829634587 172.982602771388 6.4639685490587 58.0880714123216 2.11638859306348 31.114411354056 188.545454545455 "5" "Sti" "4" "2" "9" "CT" 57
"4974" "2" 1321 13210 152.408018341196 213.947274913988 154.950764399885 213.726626691179 -1.2016244885052 15.8385279325394 5.49547866786997 26.7975796354911 206.555555555556 "5" "Sti" "4" "2" "9" "CT" 57
"4975" "2" 1322 13220 190.837818127646 228.520400371578 194.876087918148 227.226288895443 -6.95487319194875 62.4995569782577 3.56028290765721 43.4317953053416 183 "5" "Sti" "4" "2" "9" "CT" 57
